CustomerID,Recency,Frequency,Monetary,DistinctItems,AvgBasketSize,AvgBasketValue
12346.0,325,1,77183.6,1,74215.0,77183.6
12347.0,1,7,4310.0,103,351.14285714285717,615.7142857142857
12348.0,74,4,1797.24,22,585.25,449.31
12349.0,18,1,1757.55,73,631.0,1757.55
12350.0,309,1,334.40000000000003,17,197.0,334.40000000000003
12352.0,35,8,2506.04,59,67.0,313.255
12353.0,203,1,89.0,4,20.0,89.0
12354.0,231,1,1079.4,58,530.0,1079.4
12355.0,213,1,459.40000000000003,13,240.0,459.40000000000003
12356.0,22,3,2811.43,53,530.3333333333334,937.1433333333333
12357.0,32,1,6207.67,131,2708.0,6207.67
12358.0,1,2,1168.06,13,124.0,584.03
12359.0,57,4,6372.58,213,405.5,1593.145
12360.0,51,3,2662.06,105,388.3333333333333,887.3533333333334
12361.0,286,1,189.9,10,91.0,189.9
12362.0,2,10,5226.2300000000005,201,222.9,522.623
12363.0,109,2,552.0,23,204.0,276.0
12364.0,7,4,1313.1,70,376.5,328.275
12365.0,290,2,641.38,22,87.0,320.69
12367.0,3,1,168.9,11,173.0,168.9
12370.0,50,4,3545.69,143,588.25,886.4225
12371.0,44,2,1887.96,63,295.5,943.98
12372.0,71,3,1298.04,34,264.6666666666667,432.68
12373.0,310,1,364.6,14,197.0,364.6
12374.0,24,1,742.9300000000001,33,342.0,742.9300000000001
12375.0,10,2,457.5,14,89.0,228.75
12377.0,314,2,1628.1200000000001,72,472.0,814.0600000000001
12378.0,129,1,4008.62,219,2529.0,4008.62
12379.0,81,2,852.24,39,203.5,426.12
12380.0,21,4,2724.81,77,281.75,681.2025
12381.0,4,5,1845.31,70,161.6,369.062
12383.0,184,5,1850.56,84,306.4,370.11199999999997
12384.0,28,2,585.27,26,63.0,292.635
12386.0,337,2,401.9,10,177.0,200.95
12388.0,15,6,2780.6600000000003,58,243.66666666666666,463.4433333333334
12390.0,79,1,549.84,32,353.0,549.84
12391.0,21,1,460.89,92,300.0,460.89
12393.0,71,4,1582.6000000000001,49,204.0,395.65000000000003
